
# OSU MPI-CUDA Allreduce Latency Test v6.1
# Size       Avg Latency(us)
4                      13.46
8                      13.18
16                     12.68
32                     12.17
64                     11.51
128                    11.64
256                    12.36
512                    13.72
1024                   17.20
2048                   23.16
4096                   39.84
8192                   63.03
16384                  90.49
32768                  50.97
65536                  59.82
131072                 79.08
262144                114.17
524288                208.64
1048576               231.35
2097152               354.91
4194304               623.27
8388608              1187.99
16777216             2236.87
33554432             4288.70
67108864             8310.03
