
# OSU MPI Allreduce Latency Test v6.1
# Size       Avg Latency(us)
4                       2.34
8                       2.03
16                      2.02
32                      2.06
64                      2.46
128                     2.54
256                     2.68
512                     2.79
1024                    3.10
2048                    3.58
4096                    8.36
8192                   10.02
16384                  15.35
32768                  30.42
65536                  47.58
131072                 76.09
262144                115.18
524288                132.33
1048576               248.22
2097152               465.73
4194304               888.56
8388608              1880.25
16777216             3147.58
33554432             6175.65
67108864            13328.55
