
# OSU MPI-CUDA Reduce Latency Test v6.1
# Size       Avg Latency(us)
4                      10.10
8                       9.88
16                      9.70
32                      9.31
64                      8.69
128                     8.76
256                     9.48
512                    10.36
1024                   23.69
2048                   16.52
4096                   25.20
8192                   39.52
16384                  40.29
32768                  58.60
65536                  85.63
131072                145.39
262144                260.85
524288                152.62
1048576               197.98
2097152               303.60
4194304               501.22
8388608               897.10
16777216             1667.91
33554432             3175.07
67108864             6191.04
