
# OSU MPI Reduce Latency Test v6.1
# Size       Avg Latency(us)
4                       1.47
8                       1.45
16                      1.41
32                      1.34
64                      1.37
128                     1.42
256                     1.70
512                     1.80
1024                    1.99
2048                    2.41
4096                    2.96
8192                    3.84
16384                  18.74
32768                  15.58
65536                  26.17
131072                 46.02
262144                 80.98
524288                151.82
1048576               265.23
2097152               496.82
4194304               889.07
8388608              1862.31
16777216             3306.15
33554432             6996.56
67108864            13536.17
