# OMB Python MPI Allreduce Test
# Size (B)      Latency (us)
4                      19.33
8                      19.51
16                     19.56
32                     19.72
64                     19.78
128                    20.23
256                    21.45
512                    23.17
1024                   27.23
2048                   33.33
4096                   51.00
8192                   74.60
16384                 106.06
32768                  69.05
65536                  76.78
131072                 96.37
262144                131.21
524288                225.96
1048576               250.01
2097152               369.21
4194304               626.33
8388608              1224.08
16777216             2254.23
33554432             4282.43
67108864             8217.09
