# OMB Python MPI Allreduce Test
# Size (B)      Latency (us)
4                      24.99
8                      25.28
16                     25.16
32                     25.12
64                     25.48
128                    25.88
256                    26.76
512                    28.30
1024                   31.92
2048                   38.02
4096                   57.19
8192                   80.22
16384                 113.92
32768                  73.85
65536                  82.27
131072                101.54
262144                136.64
524288                230.64
1048576               254.87
2097152               374.30
4194304               626.98
8388608              1231.85
16777216             2256.49
33554432             4284.99
67108864             8233.69
