# OMB Python MPI Allreduce Test
# Size (B)      Latency (us)
4                       2.90
8                       2.90
16                      2.93
32                      2.96
64                      3.01
128                     3.14
256                     3.72
512                     3.93
1024                    4.26
2048                    4.88
4096                    9.90
8192                   11.89
16384                  19.55
32768                  35.53
65536                  53.43
131072                 78.95
262144                124.85
524288                142.00
1048576               269.68
2097152               520.21
4194304              1046.84
8388608              2017.70
16777216             4019.73
33554432             7491.97
67108864            16128.64
