# OMB-Py MPI Bi-Directional Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.13
2                       0.34
4                       0.68
8                       1.37
16                      2.95
32                      6.30
64                     12.60
128                    25.18
256                    49.73
512                    97.40
1024                  167.53
2048                  262.20
4096                  412.35
8192                  759.04
16384                1476.62
32768                3060.24
65536                5577.06
131072               9294.10
262144               4395.88
524288              10314.76
1048576             19312.68
2097152             19129.52
4194304             20387.27
8388608             21149.46
16777216            21032.19
33554432            20963.53
67108864            21099.26
