# OMB-Py MPI Bi-Directional Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.10
2                       0.24
4                       0.50
8                       1.10
16                      2.28
32                      4.57
64                      9.17
128                    18.28
256                    36.00
512                    70.83
1024                  126.99
2048                  207.94
4096                  358.11
8192                  663.57
16384                1277.25
32768                2573.37
65536                4790.18
131072               3614.50
262144              12378.19
524288              16141.50
1048576             18785.06
2097152             18938.40
4194304             20280.68
8388608             21078.33
16777216            21173.28
33554432            21003.97
67108864            21127.25
