# OMB-Py MPI Bi-Directional Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.24
2                       1.72
4                       3.42
8                       6.81
16                     13.65
32                     26.32
64                     51.51
128                   101.28
256                   202.22
512                   400.91
1024                  756.16
2048                 1431.51
4096                 1957.00
8192                 3239.50
16384                6745.99
32768               11616.09
65536               17358.43
131072              17963.28
262144              22456.32
524288              23038.92
1048576             23285.10
2097152             23301.26
4194304             23212.75
8388608             23096.95
16777216            23038.53
33554432            22987.19
67108864            23077.95
