# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.21
2                       0.41
4                       0.83
8                       1.68
16                      3.36
32                      6.68
64                     13.41
128                    26.83
256                    52.06
512                    94.79
1024                  135.72
2048                  195.64
4096                  237.36
8192                  633.23
16384                1215.22
32768                2256.53
65536                3927.67
131072               6074.58
262144               8279.94
524288               9621.28
1048576             10479.95
2097152             10690.83
4194304             10552.25
8388608              7990.01
16777216             7052.06
33554432             6602.39
67108864             7931.80
