# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.13
2                       0.26
4                       0.52
8                       1.05
16                      1.97
32                      4.02
64                      8.11
128                    15.79
256                    31.10
512                    59.83
1024                  100.85
2048                  151.85
4096                  202.80
8192                  539.14
16384                1015.51
32768                1970.75
65536                3261.74
131072               5367.89
262144               7484.68
524288               9145.01
1048576             10103.54
2097152             10560.66
4194304             10462.30
8388608              7840.14
16777216             6742.80
33554432             6371.37
67108864             7911.43
