# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.63
2                       1.32
4                       2.75
8                       5.67
16                     11.70
32                     24.12
64                     54.29
128                   121.74
256                   226.28
512                   440.03
1024                  794.79
2048                 1445.47
4096                 2386.61
8192                 3330.89
16384                5672.95
32768                8752.04
65536               10064.37
131072              10936.11
262144              11271.26
524288              11559.71
1048576             11615.33
2097152             11703.34
4194304             11754.15
8388608             11767.55
16777216            11797.33
33554432            11733.19
67108864            11727.18
