# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       5.51
1                      10.13
2                       9.80
4                       9.99
8                       9.98
16                      9.70
32                      9.70
64                      9.87
128                     9.74
256                    10.29
512                    11.42
1024                   13.93
2048                   18.27
4096                   26.96
8192                   32.95
16384                  36.01
32768                  37.98
65536                  46.72
131072                 65.55
262144                 99.59
524288                166.67
1048576               212.99
2097152               304.33
4194304               490.59
8388608               857.15
16777216             1628.51
33554432             3184.42
67108864             6336.09
