# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       7.45
1                      12.51
2                      12.55
4                      12.59
8                      12.45
16                     12.41
32                     12.36
64                     12.30
128                    12.54
256                    13.04
512                    14.27
1024                   16.75
2048                   21.15
4096                   29.77
8192                   36.10
16384                  39.58
32768                  41.11
65536                  49.96
131072                 68.54
262144                102.56
524288                166.99
1048576               216.52
2097152               308.13
4194304               493.86
8388608               860.00
16777216             1628.45
33554432             3182.76
67108864             6324.15
