# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.36
1                       2.28
2                       1.87
4                       1.86
8                       1.86
16                      1.90
32                      1.94
64                      1.97
128                     2.02
256                     2.59
512                     2.71
1024                    2.94
2048                    3.27
4096                    5.72
8192                    7.15
16384                   8.07
32768                   9.57
65536                  13.81
131072                 21.34
262144                 35.72
524288                 62.24
1048576               103.44
2097152               193.42
4194304               367.03
8388608               726.19
16777216             1434.74
33554432             2849.56
67108864             5681.03
