# OMB Python MPI Reduce Test
# Size (B)      Latency (us)
4                      16.07
8                      16.20
16                     16.21
32                     16.35
64                     16.24
128                    16.58
256                    17.60
512                    18.99
1024                  728.29
2048                   33.62
4096                   61.88
8192                   69.15
16384                  97.01
32768                 117.43
65536                 150.97
131072                217.19
262144                373.43
524288                319.56
1048576               363.47
2097152               456.49
4194304               679.89
8388608              1238.79
16777216             2246.87
33554432             4235.82
67108864             8311.08
