# OMB Python MPI Reduce Test
# Size (B)      Latency (us)
4                      20.43
8                      20.27
16                     20.24
32                     20.36
64                     20.29
128                    20.77
256                    21.42
512                    22.86
1024                  720.84
2048                   35.90
4096                   64.11
8192                   72.11
16384                 101.05
32768                 119.14
65536                 152.16
131072                221.38
262144                375.19
524288                326.19
1048576               368.16
2097152               462.39
4194304               681.60
8388608              1249.99
16777216             2244.47
33554432             4261.50
67108864             8337.65
