# OMB Python MPI Reduce Test
# Size (B)      Latency (us)
4                       2.23
8                       2.02
16                      1.85
32                      1.35
64                      1.35
128                     1.36
256                     1.40
512                     1.52
1024                    1.78
2048                    2.29
4096                    2.75
8192                    3.86
16384                  21.28
32768                  17.55
65536                  32.00
131072                 57.48
262144                 99.43
524288                182.27
1048576               249.98
2097152               474.56
4194304               940.68
8388608              1968.03
16777216             3858.75
33554432             7605.43
67108864            13169.93
