# OSU MPI-CUDA Bi-Directional Bandwidth Test v6.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.26
2                       1.66
4                       2.63
8                       6.76
16                     10.55
32                     20.58
64                     45.73
128                    81.78
256                   174.81
512                   268.11
1024                  359.88
2048                  351.62
4096                  499.61
8192                  722.14
16384                2632.69
32768                4656.36
65536                1828.30
131072               3311.78
262144              14843.53
524288              17565.73
1048576             20112.25
2097152             19919.36
4194304             20897.50
8388608             21355.88
16777216            19225.16
33554432            19711.09
67108864            19915.18
