# OSU MPI Bi-Directional Bandwidth Test v6.1
# Size      Bandwidth (MB/s)
1                       0.26
2                       3.27
4                       6.91
8                      15.73
16                     31.27
32                     60.45
64                    109.66
128                   216.49
256                   410.84
512                   805.76
1024                 1436.59
2048                 2570.27
4096                 3470.57
8192                 5075.94
16384                9754.47
32768               16365.59
65536               21359.46
131072              21448.33
262144              20515.82
524288              21327.01
1048576             22149.69
2097152             23643.33
4194304             23435.29
8388608             23116.46
16777216            23171.79
33554432            23160.73
67108864            23158.28
