# OSU MPI-CUDA Bandwidth Test v6.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.50
2                       1.05
4                       2.31
8                       5.62
16                     11.07
32                     22.19
64                     44.66
128                    87.95
256                   160.89
512                   236.52
1024                  252.40
2048                  273.28
4096                  288.58
8192                 1337.67
16384                2561.99
32768                4419.48
65536                6296.08
131072               7869.99
262144               9074.80
524288              10289.52
1048576             10686.91
2097152             10978.69
4194304             10322.93
8388608              9300.61
16777216             8544.62
33554432             7252.21
67108864             7954.47
