# OSU MPI Bandwidth Test v6.1
# Size      Bandwidth (MB/s)
1                       1.65
2                       3.29
4                       6.83
8                      13.45
16                     26.84
32                     55.21
64                    109.26
128                   211.34
256                   414.67
512                   810.37
1024                 1395.67
2048                 2326.12
4096                 3675.21
8192                 4959.90
16384                9162.60
32768               10730.21
65536               11285.36
131072              11654.89
262144              11873.07
524288              11972.41
1048576             12017.19
2097152             12041.01
4194304             12055.67
8388608             12055.63
16777216            12064.29
33554432            12066.45
67108864            12070.69
