# OSU MPI-CUDA Latency Test v6.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.43
1                       5.22
2                       5.14
4                       5.21
8                       5.16
16                      5.01
32                      5.11
64                      5.10
128                     5.38
256                     5.74
512                     6.94
1024                    9.32
2048                   13.67
4096                   21.99
8192                   24.21
16384                  27.40
32768                  28.95
65536                  38.36
131072                 56.64
262144                 91.59
524288                157.77
1048576               204.67
2097152               296.50
4194304               480.37
8388608               848.75
16777216             1618.31
33554432             3170.73
67108864             6299.39
