# OSU MPI Latency Test v6.1
# Size          Latency (us)
0                       1.40
1                       1.48
2                       1.49
4                       1.41
8                       1.45
16                      1.45
32                      1.45
64                      1.50
128                     1.54
256                     2.32
512                     2.34
1024                    2.55
2048                    2.97
4096                    5.45
8192                    6.98
16384                   8.09
32768                   9.55
65536                  13.55
131072                 21.62
262144                 34.73
524288                 60.36
1048576               103.24
2097152               191.72
4194304               369.38
8388608               719.07
16777216             1410.29
33554432             2794.81
67108864             5575.05
